exp,label,seed,n_train_cx,n_train_pairs,tau,top1,train_acc,val_acc,best_val_acc,best_epoch,overfit_gap,tau_ss_class_HELIX,top1_ss_class_HELIX,tau_ss_class_SHEET,top1_ss_class_SHEET,tau_ss_class_UNUSUAL,top1_ss_class_UNUSUAL,tau_length_bucket_long,top1_length_bucket_long,tau_length_bucket_medium,top1_length_bucket_medium,tau_length_bucket_short,top1_length_bucket_short,tau_length_bucket_very_long,top1_length_bucket_very_long
C_specialists,med_long,0,151,28689,0.24444444444444446,4.248080555555555,0.824999988079071,0.6222222447395325,0.6222222447395325,33,0.20277774333953857,0.09210526315789473,4.105366666666666,0.24593301435406698,3.958390909090909,0.38380566801619437,4.624938461538462,0.2223684210526316,4.888475,0.3149122807017544,3.0687166666666665,0.013533834586466172,3.312742857142857,0.3497076023391813,5.978811111111112
C_specialists,med_long,1,151,28689,0.24678362573099408,4.290141666666667,0.8100000023841858,0.6233918070793152,0.6233918070793152,22,0.1866081953048706,0.09210526315789476,4.045766666666666,0.2401913875598086,4.3118181818181816,0.3951417004048583,4.497376923076923,0.1473684210526316,5.5482625,0.32280701754385965,3.129775,0.07518796992481203,3.4343000000000004,0.3672514619883041,5.384622222222223
C_specialists,med_long,2,151,28689,0.25847953216374264,4.038874999999999,0.8255000114440918,0.6292397379875183,0.6292397379875183,25,0.1962602734565735,0.09824561403508773,4.0104999999999995,0.26985645933014357,3.596372727272728,0.3967611336032389,4.439492307692308,0.19473684210526318,4.7338625,0.34649122807017546,3.2165166666666667,-0.03458646616541353,3.377157142857143,0.42573099415204685,5.0322555555555555
C_specialists,HELIX,1,68,12919,0.2002923976608187,4.0302694444444445,0.7254999876022339,0.6001461744308472,0.6001461744308472,9,0.12535381317138672,0.15263157894736842,3.775608333333333,0.21531100478468898,3.4919545454545453,0.23157894736842105,4.720838461538461,0.15657894736842107,4.900612499999999,0.21842105263157893,2.9207583333333336,0.05112781954887218,3.2605142857142857,0.3309941520467836,5.334677777777778
C_specialists,HELIX,2,68,12919,0.18859649122807018,4.221869444444445,0.7415000200271606,0.594298243522644,0.594298243522644,12,0.1472017765045166,0.17192982456140352,3.8563500000000004,0.17033492822966506,3.915227272727273,0.21943319838056682,4.818738461538461,0.16973684210526319,5.1817125,0.24298245614035088,2.844716666666667,0.061654135338345864,3.3518000000000003,0.23157894736842108,5.8816
C_specialists,med_long,3,151,28689,0.2529239766081872,4.211458333333333,0.8424999713897705,0.6264619827270508,0.6264619827270508,48,0.21603798866271973,0.12894736842105262,4.089333333333332,0.23827751196172245,3.9967727272727274,0.37975708502024297,4.505846153846154,0.1618421052631579,5.208724999999999,0.293859649122807,3.0331499999999996,0.09624060150375939,3.509957142857143,0.40116959064327484,5.441688888888889
C_specialists,HELIX,3,68,12919,0.18362573099415203,4.254072222222222,0.7239999771118164,0.5918128490447998,0.5918128490447998,8,0.1321871280670166,0.15701754385964914,3.8151499999999996,0.08612440191387559,4.447063636363636,0.29068825910931173,4.495930769230769,0.14868421052631578,4.9264875,0.26666666666666666,3.0494833333333333,0.02857142857142857,3.4363428571428574,0.22456140350877193,5.8985
C_specialists,med_long,4,151,28689,0.25146198830409355,4.259430555555555,0.7570000290870667,0.6257309913635254,0.6257309913635254,7,0.13126903772354126,0.17894736842105263,3.965075,0.21435406698564596,4.255518181818181,0.3497975708502024,4.534453846153847,0.14078947368421052,5.3824125,0.3175438596491228,3.0479499999999997,0.13834586466165413,3.1044999999999994,0.3497076023391813,5.774811111111111
C_specialists,HELIX,4,68,12919,0.2198830409356725,4.249258333333334,0.8140000104904175,0.6099415421485901,0.6099415421485901,32,0.2040584683418274,0.18157894736842103,3.8347999999999995,0.1435406698564593,3.980881818181818,0.31983805668016185,4.858923076923077,0.31052631578947365,4.3643125,0.18771929824561406,2.858966666666667,0.08872180451127819,3.398214285714286,0.28421052631578947,6.662633333333334
C_specialists,SHEET,0,69,13109,0.18771929824561406,4.342055555555556,0.7164999842643738,0.5938596725463867,0.5938596725463867,5,0.12264031171798706,0.13157894736842105,3.8539999999999996,0.19999999999999998,4.424600000000001,0.22914979757085024,4.722723076923076,0.1394736842105263,5.193075,0.3552631578947368,2.902058333333333,-0.09022556390977443,3.7020285714285714,0.22339181286549709,6.003388888888889
C_specialists,SHEET,1,69,13109,0.19912280701754387,4.227966666666666,0.7074999809265137,0.5995613932609558,0.5995613932609558,4,0.10793858766555786,0.08859649122807017,3.966775,0.2516746411483254,3.948472727272727,0.25668016194331983,4.705561538461538,0.1342105263157895,5.2718625,0.3263157894736842,2.992183333333333,-0.09022556390977444,3.652942857142857,0.312280701754386,5.395011111111111
